0, 1, 6
0, 2, 2
0, 3, 4
0, 4, 9
0, 5, 3
0, 6, 8
0, 7, 1
0, 8, 7
0, 9, 7
0, 10, 10
0, 11, 8
0, 12, 6
0, 13, 1
0, 14, 4
0, 15, 5
0, 16, 10
0, 17, 1
0, 18, 3
0, 19, 1
0, 20, 9
0, 21, 6
0, 22, 6
0, 23, 2
0, 24, 2
0, 25, 10
0, 26, 4
0, 27, 2
0, 28, 1
0, 29, 5
0, 30, 2
0, 31, 7
0, 32, 6
0, 33, 4
0, 34, 4
0, 35, 6
0, 36, 4
0, 37, 1
0, 38, 7
0, 39, 10
0, 40, 8
0, 41, 9
0, 42, 3
0, 43, 8
0, 44, 2
0, 45, 4
0, 46, 3
0, 47, 2
0, 48, 7
0, 49, 6
0, 50, 3
0, 51, 8
0, 52, 9
0, 53, 10
0, 54, 7
0, 55, 10
0, 56, 2
0, 57, 1
0, 58, 5
0, 59, 2
0, 60, 10
0, 61, 6
0, 62, 10
0, 63, 3
0, 64, 6
0, 65, 7
0, 66, 4
0, 67, 5
0, 68, 2
0, 69, 9
0, 70, 7
0, 71, 4
0, 72, 1
0, 73, 5
0, 74, 10
0, 75, 8
0, 76, 2
0, 77, 6
0, 78, 8
0, 79, 10
0, 80, 8
0, 81, 9
0, 82, 9
0, 83, 10
0, 84, 1
0, 85, 10
0, 86, 8
0, 87, 6
0, 88, 6
0, 89, 7
0, 90, 6
0, 91, 2
0, 92, 6
0, 93, 9
0, 94, 6
0, 95, 10
0, 96, 8
0, 97, 5
0, 98, 7
0, 99, 10
1, 2, 1
1, 3, 3
1, 4, 7
1, 5, 1
1, 6, 8
1, 7, 8
1, 8, 4
1, 9, 3
1, 10, 3
1, 11, 6
1, 12, 1
1, 13, 9
1, 14, 9
1, 15, 2
1, 16, 8
1, 17, 4
1, 18, 3
1, 19, 4
1, 20, 2
1, 21, 8
1, 22, 2
1, 23, 4
1, 24, 9
1, 25, 4
1, 26, 1
1, 27, 10
1, 28, 10
1, 29, 10
1, 30, 1
1, 31, 10
1, 32, 4
1, 33, 2
1, 34, 6
1, 35, 4
1, 36, 3
1, 37, 1
1, 38, 10
1, 39, 2
1, 40, 10
1, 41, 5
1, 42, 1
1, 43, 7
1, 44, 7
1, 45, 6
1, 46, 10
1, 47, 1
1, 48, 9
1, 49, 10
1, 50, 5
1, 51, 7
1, 52, 1
1, 53, 3
1, 54, 1
1, 55, 3
1, 56, 9
1, 57, 8
1, 58, 10
1, 59, 9
1, 60, 4
1, 61, 5
1, 62, 3
1, 63, 2
1, 64, 5
1, 65, 5
